semana,agendados,pendientes_restantes,vulnerables_en_cola,tiempo_seg
1,7,193,41,0.05259380000643432
2,7,186,38,0.04584050000994466
3,8,178,34,0.049508500000229105
4,5,173,33,0.03862830001162365
5,7,166,31,0.043739400018239394
6,7,159,30,0.04686649999348447
7,7,152,29,0.04376619998947717
8,8,144,30,0.03993080000509508
9,6,138,28,0.03615130000980571
10,7,131,27,0.04290609998861328
11,9,122,25,0.043733099999371916
12,6,116,28,0.041395200008992106
13,7,109,26,0.04215170000679791
14,5,104,27,0.031918900000164285
15,7,97,25,0.039863099984358996
16,7,90,24,0.03996610001195222
17,8,82,24,0.03986689998419024
18,9,73,23,0.038492799998493865
19,7,66,21,0.030225399998016655
20,7,59,20,0.031496499985223636
21,8,51,20,0.03197189999627881
22,7,44,17,0.02804529998684302
23,7,37,14,0.027191500004846603
24,7,30,11,0.026631099986843765
25,5,25,9,0.02192009999998845
26,8,17,9,0.02852690001600422
27,5,12,6,0.01966099999845028
28,7,5,2,0.029241400014143437
29,5,0,0,0.023420899990014732
