semana,agendados,pendientes_restantes,tiempo_seg
1,8,192,2.181150200020056
2,7,185,2.1590500000165775
3,7,178,2.1528549999929965
4,7,171,2.2536502000002656
5,7,164,2.0622585999954026
6,7,157,1.9053257000050507
7,7,150,2.1483454999979585
8,6,144,1.8426924000086728
9,7,137,2.182911799987778
10,8,129,2.372290500003146
11,6,123,1.8752316000172868
12,7,116,2.0655987999925856
13,8,108,2.150079899991397
14,8,100,2.241771200002404
15,5,95,1.390089499996975
16,8,87,2.1838575000001583
17,8,79,2.3876852999965195
18,7,72,2.0838122999994084
19,8,64,2.230779400008032
20,8,56,2.2041349999781232
21,8,48,2.328664700005902
22,6,42,1.6713709999748971
23,6,36,1.7934978000121191
24,5,31,1.2095749999862164
25,6,25,1.0067477999837138
26,8,17,0.8450291000190191
27,7,10,0.38453590002609417
28,6,4,0.1428207000135444
29,4,0,0.04269509998266585
